country,year,Democracy_cont,Democracy_bin,misconduct,Regime_openness,numberprev,GDP_PerCAP,FDI,Foreign_Aid,gdp_growth,incumbent_running,alternation_in_power,region,opposition_mobilization
Afghanistan,1931,0.133,0,,,1,,,,,,,,
Afghanistan,1934,0.088,0,,,2,,,,,,,,
Afghanistan,1937,0.095,0,,,3,,,,,,,,
Afghanistan,1940,0.095,0,3,,4,,,,,,,,
Afghanistan,1943,0.089,0,3,,5,,,,,,,,
Afghanistan,1946,0.091,0,3,,6,,,,,,,,
Afghanistan,1949,0.104,0,3,,7,,,,,,,,
Afghanistan,1952,0.096,0,3,,8,,,,,,,,
Afghanistan,1955,0.087,0,3,,9,,,,,,,,
Afghanistan,1958,0.083,0,3,,10,,,,,,,,
Afghanistan,1961,0.091,0,3,,11,59.8608738790779,,34669998.1689453,,,,,
Afghanistan,1965,0.154,0,3,,12,101.108304853377,,53930000.3051758,-3.388843172403,,,,
Afghanistan,1969,0.171,0,3,,13,129.329712876621,,27250000,31.790265769842,,,,
Afghanistan,1988,0.093,0,3,1,14,,,73500000,,1,0,,
Afghanistan,2004,0.285,1,2,2,15,211.381969507195,3.57581862928125,2268530029.29688,-11.25751431844,1,0,5,0
Afghanistan,2005,0.344,1,2,2,16,242.031379173351,4.36453354376579,2815100097.65625,-20.697960721131,1,0,5,1
Afghanistan,2005,0.344,1,2,2,16,242.031379173351,4.36453354376579,2815100097.65625,-20.697960721131,1,0,5,2
Afghanistan,2009,0.39,1,2,2.5,17,438.076034406941,0.451055983077692,6113120117.1875,-4.96698535804603,1,0,5,0
Afghanistan,2010,0.361,1,2,2,18,543.303041863931,1.20312510873944,6235319824.21875,-73.41556901837,1,0,5,0
Afghanistan,2014,0.38,1,2,2,19,613.856332882312,0.209790229195171,4942970214.84375,4.70698992943096,1,0,5,3
Afghanistan,2014,0.38,1,2,2,19,613.856332882312,0.209790229195171,4942970214.84375,4.70698992943096,1,0,5,6
Afghanistan,2014,0.38,1,2,2,19,613.856332882312,0.209790229195171,4942970214.84375,4.70698992943096,1,0,5,1
Afghanistan,2014,0.38,1,2,2,19,613.856332882312,0.209790229195171,4942970214.84375,4.70698992943096,1,0,5,2
Afghanistan,2014,0.38,1,2,2,19,613.856332882312,0.209790229195171,4942970214.84375,4.70698992943096,1,0,5,4
Afghanistan,2014,0.38,1,2,2,19,613.856332882312,0.209790229195171,4942970214.84375,4.70698992943096,1,0,5,5
Afghanistan,2018,0.367,1,2,2,20,520.896602719135,0.616822255528189,3788889892.57813,-9.07402835814503,,,5,2
Afghanistan,2018,0.367,1,2,2,20,520.896602719135,0.616822255528189,3788889892.57813,-9.07402835814503,,,5,1
Albania,1921,0.226,1,3,,1,,,,,,,,
Albania,1923,0.221,1,3,,2,,,,,,,,
Albania,1924,0.155,1,3,,3,,,,,,,,
Albania,1925,0.187,1,3,,4,,,,,,,,
Albania,1928,0.181,1,3,,5,,,,,,,,
Albania,1932,0.153,1,3,,6,,,,,,,,
Albania,1937,0.119,1,3,,7,,,,,,,,
Albania,1939,0.089,0,3,,8,,,,,,,,
Albania,1945,0.051,0,3,,9,,,,,,,,
Albania,1949,0.174,0,3,,10,,,,,,,,
Albania,1950,0.176,0,3,,11,,,,,,,,
Albania,1954,0.176,0,3,,12,,,,,,,,
Albania,1958,0.176,0,3,,13,,,,,,,,
Albania,1962,0.173,0,3,,14,,,,,,,,
Albania,1966,0.18,0,3,,15,,,,,,,,
Albania,1970,0.187,0,3,,16,,,,,,,,
Albania,1974,0.174,0,3,1,17,,,,,,,,
Albania,1978,0.174,0,3,1,18,,,,,1,0,,
Albania,1982,0.175,0,3,,19,,,,,1,0,,
Albania,1987,0.169,0,3,1,20,674.793383069492,0,,-54.007565188153,1,0,,
Albania,1991,0.301,1,2,1.5,21,336.586994504629,0,331950012.207031,80.7651610610141,1,0,4,7
Albania,1991,0.301,1,2,1.5,21,336.586994504629,0,331950012.207031,80.7651610610141,1,0,4,8
Albania,1991,0.301,1,2,1.5,21,336.586994504629,0,331950012.207031,80.7651610610141,1,0,4,4
Albania,1991,0.301,1,2,1.5,21,336.586994504629,0,331950012.207031,80.7651610610141,1,0,4,3
Albania,1991,0.301,1,2,1.5,21,336.586994504629,0,331950012.207031,80.7651610610141,1,0,4,2
Albania,1991,0.301,1,2,1.5,21,336.586994504629,0,331950012.207031,80.7651610610141,1,0,4,1
Albania,1991,0.301,1,2,1.5,21,336.586994504629,0,331950012.207031,80.7651610610141,1,0,4,6
Albania,1991,0.301,1,2,1.5,21,336.586994504629,0,331950012.207031,80.7651610610141,1,0,4,5
Albania,1992,0.428,1,2,3,22,200.852219772323,3.06666159864896,409640014.648438,280.643441010876,1,0,4,2
Albania,1992,0.428,1,2,3,22,200.852219772323,3.06666159864896,409640014.648438,280.643441010876,1,0,4,1
Albania,1992,0.428,1,2,3,22,200.852219772323,3.06666159864896,409640014.648438,280.643441010876,1,0,4,3
Albania,1996,0.422,1,2,4,23,1009.97766752106,2.81593952287171,226639999.389648,-164.188109534565,1,0,4,1
Albania,1997,0.391,1,2,4,24,717.380567391734,2.1031512816569,168229995.727539,-259.373218342234,1,0,4,5
Albania,1997,0.391,1,2,4,24,717.380567391734,2.1031512816569,168229995.727539,-259.373218342234,1,0,4,4
Albania,1997,0.391,1,2,4,24,717.380567391734,2.1031512816569,168229995.727539,-259.373218342234,1,0,4,8
Albania,1997,0.391,1,2,4,24,717.380567391734,2.1031512816569,168229995.727539,-259.373218342234,1,0,4,9
Albania,1997,0.391,1,2,4,24,717.380567391734,2.1031512816569,168229995.727539,-259.373218342234,1,0,4,11
Albania,1997,0.391,1,2,4,24,717.380567391734,2.1031512816569,168229995.727539,-259.373218342234,1,0,4,6
Albania,1997,0.391,1,2,4,24,717.380567391734,2.1031512816569,168229995.727539,-259.373218342234,1,0,4,3
Albania,1997,0.391,1,2,4,24,717.380567391734,2.1031512816569,168229995.727539,-259.373218342234,1,0,4,10
Albania,1997,0.391,1,2,4,24,717.380567391734,2.1031512816569,168229995.727539,-259.373218342234,1,0,4,7
Albania,1997,0.391,1,2,4,24,717.380567391734,2.1031512816569,168229995.727539,-259.373218342234,1,0,4,1
Albania,1997,0.391,1,2,4,24,717.380567391734,2.1031512816569,168229995.727539,-259.373218342234,1,0,4,2
Albania,2001,0.447,1,1,3,25,1281.65939343074,5.28543453663519,268529998.779297,-93.44162453421,1,0,4,0
Albania,2005,0.531,2,1,5,26,2673.78728253113,3.2597683417782,315079986.572266,-527.46103040082,1,0,4,0
Albania,2009,0.596,2,1,5,27,4114.14015001395,11.1706266358061,357149993.896484,-775.50292333235,1,0,4,0
